3,1
2.5,1
3.5,1
2.625,1
3,1
2.625,1
3.5,1
5,1
4.0833,1
3,1
4.625,1
2.7143,1
3.5,1
4.5,1
4.125,1
3.8571,1
4.125,1
3.9,1
2.8125,1
3.8571,1
4.5,1
4.5,1
4.0556,1
4.2222,1
4.5,1
5,1
4.5,1
3.5,1
3.7857,1
4,1
3.8571,1
4.5,1
3,1
3.5,1
4.5,1
2.625,1
4.5,1
4.5,1
3.5,1
4,1
4.125,1
4.0556,1
3.5,1
3,1
3,1
4.5,1
3.9,1
2.5,1
4.625,1
3,1
4.0833,1
3.5,1
2.625,1
3.625,1
3.7857,1
3,1
4.125,1
3.75,1
4.5,1
4.5,1
3.8571,1
3.0714,1
3.9286,1
4.125,1
3.5,1
3,1
4.5,1
4.5,1
4.625,1
2.5,1
2.7143,1
5,1
3,1
3.5,1
3,1
4,1
3.0556,1
2.5,1
2.9444,1
3.1111,1
2.5,1
3.7222,1
4.25,1
2.5,1
3,1
3.5,1
4.5,1
2.375,1
4.125,1
4.5,1
4.5,1
3.1111,1
3.5,1
4.5,1
3.5,1
3,1
4.125,1
4.625,1
2.5,1
4.625,1
3.1111,1
4.5,1
4,1
4.4167,1
3.5,1
3.7857,1
4.25,1
4.5,1
4,1
4.5,1
4.5,1
2.5,1
3.4444,1
2.9444,1
3.25,1
3.7778,1
3.0714,1
4.5,1
2.5,1
4.5,1
3.9286,1
4.125,1
2.5,1
3,1
3.7778,1
4.1667,1
3.3333,1
4.625,1
4.0556,1
2.375,1
3.5,1
4.125,1
4.5,1
4.5,1
3.9286,1
3.1111,1
5,1
4.625,1
4.5,1
3.9286,1
2.5,1
3.5,1
3.5,1
4,1
3.5,1
4,1
3.7857,1
2.5,1
4,1
3.5,1
2.5,1
2.375,1
